,MEDIA
Q006,0.4691856831569241
Q024,0.4061772918790527
Q008,0.35886826652018106
Q010,0.3351932175148835
Q002,0.3043296967900986
Q019,0.2940888050584637
Q018,0.2862575509930419
Q022,0.2758009319739785
Q013,0.269832776371688
Q016,0.2690526199322318
Q004,0.2658415115045374
Q025,0.2552620081368063
Q014,0.2545151307359706
Q021,0.24781285854810173
Q001,0.24677940742275792
Q023,0.23907159134017014
Q003,0.23880507275707646
Q009,0.2204654616929522
Q007,0.19081335098947316
Q012,0.131759166156981
Q017,0.12796359075914893
Q015,0.12272353270198216
Q020,0.10589253643139108
TP_ESCOLA,0.08310804435836362
TP_SEXO,0.07107545851447185
TP_DEPENDENCIA_ADM_ESC,0.06233734699933879
IN_TREINEIRO,0.023417200674848267
TP_ST_CONCLUSAO,0.0109126850881082
TP_LOCALIZACAO_ESC,-0.01559091967201055
TP_ANO_CONCLUIU,-0.028381674256287872
TP_NACIONALIDADE,-0.03994772274185513
Q011,-0.0415985835551955
TP_ESTADO_CIVIL,-0.05927941419325357
TP_ENSINO,-0.06658940938098594
Q005,-0.0962577647194952
TP_FAIXA_ETARIA,-0.14107185578430462
TP_COR_RACA,-0.20497605002751593
TP_LINGUA,-0.2794551464886387
