,SITUACAO_PRESENCA
TP_ST_CONCLUSAO,0.21322679045744297
TP_ESCOLA,0.16692465583530902
TP_DEPENDENCIA_ADM_ESC,0.138959154940098
TP_LOCALIZACAO_ESC,0.13095731221982432
IN_TREINEIRO,0.13085167054313504
Q002,0.12154286717829785
Q022,0.10621227602668573
Q009,0.10547028338898803
Q008,0.10117078936900957
Q006,0.09785602412154235
Q010,0.09608701562003061
Q019,0.08961181592430027
Q001,0.08706511835209635
Q013,0.08424455514495581
Q024,0.07986388390425224
Q004,0.07232302924215496
Q018,0.07202103010991627
Q021,0.06718286636910749
Q023,0.059115723823454036
Q003,0.05424185569964128
Q016,0.05089044756208286
Q020,0.04975210761278158
Q014,0.04824654059789985
Q025,0.04819964108580067
Q005,0.04309321084350008
Q007,0.04100285195278363
Q012,0.036956765682648794
Q015,0.03460703044848705
Q017,0.023075116402603638
Q011,0.01814780851479021
TP_ENSINO,0.01724596553865379
TP_NACIONALIDADE,0.004412203291480184
TP_SEXO,-0.0002937947634480613
TP_COR_RACA,-0.03013520368617233
TP_LINGUA,-0.06997969522437747
TP_ESTADO_CIVIL,-0.07614833546382342
TP_ANO_CONCLUIU,-0.22420712243955082
TP_FAIXA_ETARIA,-0.2767499685240657
